id,food,submitted_before_ml,gt_before_ml,submitted_after_ml,gt_after_ml,cd_before,cd_after
1,Roasted Chicken Leg,151,186.54,71,69.18,6.82,8.11
2,Quesadilla,220,140.55,73,90.06,8.06,8.01
3,Pizza,200,126.86,3,71.49,9.23,20.93
4,Muffin,161,212.47,42.3,116.85,5.57,12.68
5,Hotdog,250,264.74,107,74.1,5,6.48
6,Grilled Salmon,170,113.38,70.8,36,7.9,8.75
7,Garlic Bread,100,89.5,30,17.54,5.01,6.15
8,Croissant,110,105.28,26.3,42.65,4.85,5.42
9,Crab Cake,80,72.59,28,16.76,4.2,4.06
10,Cinnamon Roll,200,213.64,40,87.73,5.02,9.5
11,Chicken Wings,120,35.6,20,7.99,15.81,5.28
12,Chicken Sandwich,350,379.82,117,189.97,7.16,8.66
13,Cheesecake,220,231.74,44,103.54,7.86,15.28
14,Burrito,450,702.3,300,314.58,14.81,0.92
15,Breaded Fish,110,43.8,73.3,34.58,8.36,8.76
16,Bagel,200,277.03,67,126.98,7.54,10.25
17,Apple,278,286.03,197.7,142.32,2.93,9.72

